검색키워드,콘텐츠제목,지역코드,시군구코드,주소,대표이미지(원본),대표이미지(썸네일),교과서속여행지,상세주소,대분류,중분류,소분류,콘텐츠ID,콘텐츠타입ID,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호
,골체오름 벚꽃축제,39,4,제주특별자치도 제주시 조천읍 선흘리,http://tong.visitkorea.or.kr/cms/resource/39/3482339_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/39/3482339_image3_1.png,,1911,A02,A0207,A02070200,3482354,15,Type3,126.7043085822,33.4496832240,6,20250313162225,20250331154221,064-782-5479
,경주 대릉원돌담길 축제,35,2,경상북도 경주시 황남동,http://tong.visitkorea.or.kr/cms/resource/14/3482114_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3482114_image3_1.jpg,,,A02,A0207,A02070200,2485128,15,Type3,129.2133231098,35.8401959957,6,20170314000426,20250331141814,054-776-5267
,2025 청산도슬로걷기축제,38,18,전라남도 완도군 청산면,http://tong.visitkorea.or.kr/cms/resource/37/3484637_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3484637_image3_1.jpg,,,A02,A0208,A02081300,999659,15,Type3,126.8590030820,34.1798852008,6,20100401090015,20250331131955,061-550-5432
,장성 황룡강 길동무 꽃길 축제,38,19,전라남도 장성군 장성읍 장재길 21,http://tong.visitkorea.or.kr/cms/resource/86/2987486_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/86/2987486_image3_1.png,,장성 황룡강 일원,A02,A0207,A02070200,553411,15,Type3,126.7784603522,35.3082431700,6,20080424223506,20250331094215,061-390-7252
,군포 철쭉축제,31,7,경기도 군포시 고산로 470 (산본동),http://tong.visitkorea.or.kr/cms/resource/99/3484599_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/99/3484599_image3_1.JPG,,,A02,A0207,A02070200,1804396,15,Type3,126.9266205400,37.3565526959,6,20130415200918,20250328161340,031-390-3558
,평택거리문화축제,31,28,경기도 평택시 평택1로 2-1 (평택동),http://tong.visitkorea.or.kr/cms/resource/29/3484529_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/3484529_image3_1.jpg,,평택역 오거리 ~ 박애병원 일원,A02,A0207,A02070200,3484552,15,Type3,127.0869633560,36.9923087979,6,20250328152012,20250328152255,
,여수거북선축제,38,13,전라남도 여수시 선어시장길 6 (중앙동),http://tong.visitkorea.or.kr/cms/resource/58/3113158_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/58/3113158_image3_1.JPG,,,A02,A0207,A02070200,553315,15,Type3,127.7363903743,34.7396152373,6,20080424185920,20250328145801,061-659-4743
,와룡산 와~봄 축제,4,6,대구광역시 서구 상리동,http://tong.visitkorea.or.kr/cms/resource/64/3482664_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3482664_image3_1.jpg,,산 119-5,A02,A0207,A02070200,3482671,15,Type3,128.5305489090,35.8714158519,6,20250318170419,20250328142548,053-663-2181
,논산딸기축제,34,3,충청남도 논산시 관촉동,http://tong.visitkorea.or.kr/cms/resource/91/3479791_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3479791_image3_1.jpg,,339-1,A02,A0207,A02070100,525292,15,Type3,127.1056055127,36.1954950859,6,20080325215742,20250328130917,041-730-2973
,물금벚꽃축제,36,10,경상남도 양산시 물금읍 황산공원1길 275,http://tong.visitkorea.or.kr/cms/resource/93/3479893_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3479893_image3_1.jpg,,황산공원,A02,A0207,A02070200,3110082,15,Type3,128.9814054996,35.3079543547,6,20240318174342,20250328101549,055-392-2547~8
,화성 뱃놀이 축제,31,31,경기도 화성시 서신면 전곡항로 5,http://tong.visitkorea.or.kr/cms/resource/56/3484056_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3484056_image3_1.jpg,,,A02,A0207,A02070100,1811380,15,Type3,126.6510336560,37.1855870833,6,20130515231916,20250328092227,031-290-4689
,정읍 벚꽃축제,37,13,전북특별자치도 정읍시 벚꽃로 401 (시기동),http://tong.visitkorea.or.kr/cms/resource/64/3110064_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3110064_image3_1.jpg,,정읍천 어린이 축구장,A02,A0207,A02070200,2486075,15,Type3,126.8557220904,35.5613102375,6,20170320235505,20250327165307,063-539-5235
,양양생생축제,32,7,강원특별자치도 양양군 양양읍 일출로 570,http://tong.visitkorea.or.kr/cms/resource/78/3484078_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/78/3484078_image3_1.png,,양양웰컴센터 앞 잔디공원 및 주차장,A02,A0207,A02070200,3484079,15,Type3,128.6245424252,38.0744454122,6,20250327142838,20250327144357,033-671-7802<br>033-671-7888
,고령대가야축제,35,3,경상북도 고령군 대가야로 1216 대가야역사테마관광지,http://tong.visitkorea.or.kr/cms/resource/25/3476725_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/3476725_image3_1.jpg,,,A02,A0207,A02070100,2667017,15,Type3,128.2599602256,35.7212529077,6,20200813012345,20250327104516,054-950-6427
,익산서동축제,37,9,전북특별자치도 익산시 금마면 고도9길 41-14,http://tong.visitkorea.or.kr/cms/resource/60/3483960_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/3483960_image3_1.jpg,,익산서동공원,A02,A0207,A02070200,637546,15,Type3,127.0609146595,36.0006415547,6,20081014224944,20250326164750,063-843-8817
,김제 꽃빛드리 축제,37,3,전북특별자치도 김제시 도작로 220 (검산동),http://tong.visitkorea.or.kr/cms/resource/82/3107882_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3107882_image3_1.jpg,,김제시민문화체육공원,A02,A0207,A02070200,2953096,15,Type1,126.8999144686,35.8130212655,6,20230328172400,20250326161254,063-542-5203
,생거진천 농다리축제,33,8,충청북도 진천군 진천읍 문화로 79,http://tong.visitkorea.or.kr/cms/resource/97/2492097_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2492097_image2_1.jpg,,,A02,A0207,A02070200,142186,15,Type3,127.4398938112,36.8500731710,6,20070808090000,20250326151025,043-539-3603
,안동벚꽃축제,35,11,경상북도 안동시 축제장길 200 (운흥동),http://tong.visitkorea.or.kr/cms/resource/39/3482739_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/39/3482739_image3_1.JPG,,,A02,A0207,A02070200,3109677,15,Type3,128.7306588876,36.5605523512,6,20240315172102,20250326142141,054-840-3400
,화개장터 벚꽃축제,36,18,경상남도 하동군 화개면 탑리,http://tong.visitkorea.or.kr/cms/resource/85/3480485_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/85/3480485_image3_1.JPG,,576 화개면 그린나래광장,A02,A0207,A02070200,525901,15,Type3,127.6276576813,35.1947677761,6,20080326231124,20250326142034,055-880-6584
,태백 천상의 산나물 축제,32,14,강원특별자치도 태백시 장성동,http://tong.visitkorea.or.kr/cms/resource/23/3483923_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3483923_image3_1.jpg,,159-31,A02,A0207,A02070200,2982690,15,Type3,129.0096625526,37.1010263860,6,20230421143003,20250326135309,033-550-2726
,렛츠런파크 서울 벚꽃축제,31,3,경기도 과천시 경마공원대로 107 (주암동),http://tong.visitkorea.or.kr/cms/resource/46/3108646_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/3108646_image3_1.jpg,,렛츠런파크 서울,A02,A0207,A02070200,525883,15,Type3,127.0086495110,37.4441273360,6,20080326222231,20250326112904,02-3448-0095
,함양산삼축제,36,20,경상남도 함양군 함양읍 필봉산길 49,http://tong.visitkorea.or.kr/cms/resource/76/3483576_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/3483576_image3_1.jpg,,,A02,A0207,A02070200,563458,15,Type3,127.7218713327,35.5237239599,6,20080523221437,20250326100707,055-964-3353
,서대문 봄빛축제,1,14,서울특별시 서대문구 홍은동,http://tong.visitkorea.or.kr/cms/resource/03/3483603_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/03/3483603_image3_1.JPG,,428-1 홍제폭포광장,A02,A0207,A02070200,3483727,15,Type3,126.9370688057,37.5819600437,6,20250326092101,20250326100556,02-330-1410
